App.,Taxon,Term,Unit,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
I,Acinonyx jubatus,live,Number of specimens,NO,,,,,,,,,,,,,,,,,,,,,2,,,,
I,Acinonyx jubatus,live,Number of specimens,PL,,,,,,,,,,,,,,,,,,,,,,2,,,
I,Acinonyx jubatus,live,Number of specimens,SE,,,,,,,,,,,,,,,,,,,,,,2,1,,
I,Acinonyx jubatus,live,Number of specimens,SY,,,,,,,,,,,,,,,,,,,,,,,4,,
I,Acinonyx jubatus,live,Number of specimens,US,,,,,,,,,,,,,,,,,,,,2,,1,,3,
I,Acinonyx jubatus,live,Number of specimens,XX,,,,,,,,,,,,,,,,,,,,,,,8,,
I,Acinonyx jubatus,live,Number of specimens,ZA,,,,,,,,,,,,,,,,,,,7,2,12,44,53,98,4
I,Acinonyx jubatus,live,Number of specimens,ZW,,,,,,,,,,,,,,,,,,,,,3,,,,
I,Acinonyx jubatus,live,,AE,3,,,5,,6,14,4,15,4,5,20,4,,1,4,2,3,,,,,2,,
I,Acinonyx jubatus,live,,AM,,,,,,,,,,,,,,1,,2,,,,,,,,,
I,Acinonyx jubatus,live,,AT,,,1,1,1,,1,,1,,,,,,,,,,,,,,,1,
I,Acinonyx jubatus,live,,AU,,2,,,,1,,2,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,AZ,,,,,,,,,,,,,,,,,6,,,,,,,,
I,Acinonyx jubatus,live,,BE,,1,,,,,,,2,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,BH,,,,,,,,,,,,,,,,4,1,,,,,,,,
I,Acinonyx jubatus,live,,BY,,,,,,,,,,,,1,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,CA,4,,,,,,,,,,2,7,,7,,,,,2,,,,,,
I,Acinonyx jubatus,live,,CH,1,1,2,3,1,2,2,1,6,4,1,4,,,2,,4,,,4,,,,,
I,Acinonyx jubatus,live,,CN,,,,,,,,,2,2,,,,,8,,,,,,,,,,
I,Acinonyx jubatus,live,,CZ,2,1,6,3,,,7,1,5,,1,1,3,3,1,2,,4,,,3,,,,
I,Acinonyx jubatus,live,,DE,,2,,2,,,4,2,,,,,,1,,1,,2,,,,,,,
I,Acinonyx jubatus,live,,DK,,,,,,,,,,,1,,1,,1,1,,,,,,,,,
I,Acinonyx jubatus,live,,ES,,,,,,,,,,,2,,,1,,3,,,,,,,,,
I,Acinonyx jubatus,live,,FR,,,,,,1,1,,,,,,,,1,,,2,,,4,,,,
I,Acinonyx jubatus,live,,GB,,,,,,,,,1,,,,,1,,,,,,2,,,,,
I,Acinonyx jubatus,live,,GE,,,,,,,,,,,,,,,,,6,,,,,,,,
I,Acinonyx jubatus,live,,HR,,,,,,,,,1,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,ID,,,,,1,2,1,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,IE,2,,,,,,,,,,,,,,,,,1,,,,4,3,,
I,Acinonyx jubatus,live,,IL,,,,,,,,,,,3,,,,1,,,,,,,,,,
I,Acinonyx jubatus,live,,JP,,,,,,1,1,,,,,,,,,,,,,4,,,,,
I,Acinonyx jubatus,live,,KZ,,,,,,,,,2,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,MW,,,,,,,,,,,,,,,,,,,,,,2,,,
I,Acinonyx jubatus,live,,MZ,,,,,,,2,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,NA,,13,3,,,,,,4,,,,6,4,,1,,,,,,,,,
I,Acinonyx jubatus,live,,NL,1,10,6,2,1,7,2,,,,,,,2,2,,,,,,,,,,
I,Acinonyx jubatus,live,,NO,,,,,,,,,,,,,,,,,,,2,,,,,,
I,Acinonyx jubatus,live,,NZ,,,,,,,,,,,,,3,,,2,2,,,,,,,,
I,Acinonyx jubatus,live,,PL,,3,2,,,1,1,,,,,,,,,,,,,,,2,,,
I,Acinonyx jubatus,live,,QA,,,,3,,,,,,,,,2,,,,,,,,,,,,
I,Acinonyx jubatus,live,,RO,,,,,,,,,1,,1,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,RU,,,,,,,,,,1,4,6,6,14,20,,6,,3,,,,,,
I,Acinonyx jubatus,live,,SA,,,,,,,,,,,,,,2,4,,,,,,,,,,
I,Acinonyx jubatus,live,,SD,,,,,,,,1,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,SE,,,,,,,,,,,2,,,,4,,,,,1,,2,,1,
I,Acinonyx jubatus,live,,SG,,,,,,,2,,4,4,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,SI,,,,1,1,1,1,1,,,,1,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,SO,,,3,,,,,,,,15,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,SY,,,,,,,,,,,,,,,,2,2,2,,,,,,,
I,Acinonyx jubatus,live,,TG,,,,,2,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,TZ,,,,,,,,,,5,1,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,UA,,,,,,,,,,,,,4,,1,,,,,,,,,,
I,Acinonyx jubatus,live,,US,1,,,,,,,,,,,,,,2,,,1,7,,,,,,
I,Acinonyx jubatus,live,,XX,,,3,,,,,,6,,6,,,,10,2,4,,,,2,,6,,
I,Acinonyx jubatus,live,,YU,,8,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,ZA,34,39,59,43,121,76,82,66,94,62,94,92,92,65,59,58,23,53,50,57,47,61,52,,
I,Acinonyx jubatus,live,,ZM,,,,,,1,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,live,,ZW,2,,1,,2,,,,,,,,4,,,,,,,,,,,,
I,Acinonyx jubatus,plates,,FR,,,,,,,,,,,1,,,,,,,,,,,,,,
I,Acinonyx jubatus,plates,,XX,,2,,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,rug,,NA,,,,,,,,,,,,,,,,,6,1,,,,,,,
I,Acinonyx jubatus,skeletons,Number of specimens,FR,,,,,,,,,,,,,,,,,,,,,1,,,,
I,Acinonyx jubatus,skeletons,,AE,,,3,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skeletons,,CA,,,,,,,,,,,,,,,,,,,2,2,,,,,
I,Acinonyx jubatus,skeletons,,CZ,,,,,,,,,,,,,,,,,1,,,,,,,,
I,Acinonyx jubatus,skeletons,,ZA,,,4,,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skeletons,,ZW,,,,,,,2,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skin pieces,Number of specimens,NG,,,,,,,,,,,,,,,,,,,,,,,,1,
I,Acinonyx jubatus,skin pieces,,AE,,,,62,,,,,,,,,,,,,,,,,,,,,
I,Acinonyx jubatus,skin pieces,,GB,,,,,,,,,,,,,,,4,,,,,,,,,,
I,Acinonyx jubatus,skin pieces,,NG,,,,,,,,,1,,,,1,,,,,,,,,,,,
I,Acinonyx jubatus,skin pieces,,RU,,,,,,,,,,,,,,12,,,,,,,,,,,
I,Acinonyx jubatus,skin pieces,,SZ,,,,,,,,,,,,,,,,,,,3,,,,,,
I,Acinonyx jubatus,skin pieces,,US,,,,,,,,,,,,,,,19,2,,,,,,,,,
I,Acinonyx jubatus,skin pieces,,ZA,,,,,,,,,1,,1,,,,,,,,,,,,,,
I,Acinonyx jubatus,skins,Number of specimens,NA,,,,,,,,,,,,,,,,,,,,,,1,2,,
